slug,name,agency,type,url,status,last_updated,listing_deadline,deadline_raw,amount,eligibility,source_quality,source_domain,C1,C2,C3,C4,C5,total,note
ne-sare-farmer,Northeast SARE Farmer Grant Program,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/ne-sare-farmer,OK,2026-07-23,Closed May 1,"Closed May 1, 2025","$30,000",PROSE,SPECIFIC,northeast.sare.org,3,3,3,3,2,14,
ne-sare-graduate-student-research,Northeast SARE Graduate Student Research Grant Program,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/ne-sare-graduate-student-research,OK,2026-07-23,Closed Apr 16,"Deadline: April 16, 2024","$15,000",EXPLICIT,SPECIFIC,northeast.sare.org,3,3,3,3,3,15,closed date is the 2024 cycle; body says early May which conflicts
ne-sare-partnership,Northeast SARE Partnership Grant Program,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/ne-sare-partnership,OK,2026-07-23,Closed Apr 9,"Closed April 9, 2024","$30,000",EXPLICIT,SPECIFIC,northeast.sare.org,3,3,3,3,3,15,closed date is the 2024 cycle
ne-sare-professional-development,Northeast SARE Professional Development Grant Program,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/ne-sare-professional-development,OK,2026-07-23,Closed Feb 2,"Closed February 2, 2026","$150,000",EXPLICIT,SPECIFIC,northeast.sare.org,3,3,3,3,3,15,
ne-sare-research-and-education,Northeast SARE Research and Education Grant Program,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/ne-sare-research-and-education,OK,2026-07-23,Closed Feb 2,"Closed February 2, 2026","$250,000",EXPLICIT,SPECIFIC,northeast.sare.org,3,3,3,3,3,15,
ne-sare-novel-sustainable,Northeast SARE Research for Novel Approaches in Sustainable Agriculture Grant Program,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/ne-sare-novel-sustainable,OK,2026-07-23,Closed Feb 2,"Closed February 2, 2026","$200,000",PROSE,SPECIFIC,northeast.sare.org,3,3,3,3,2,14,
NNYADP-SGP,Northern New York Agricultural Development Small Grants Program,New York Department of Agriculture and Markets (NYDAM),Grant,https://ambrook.com/funding/NNYADP-SGP,OK,2026-07-23,Closed Oct 31,"Closed October 31, 2025","$300,000 total",PROSE,SPECIFIC,nnyagdev.org,3,3,3,3,2,14,no per-award maximum for a program named Small Grants
nursery-value-select,Nursery Value Select Coverage,Risk Management Agency (RMA),Insurance,https://ambrook.com/funding/nursery-value-select,OK,2026-07-23,-,sales closing dates May 1 or September 1,ABSENT,PROSE,SPECIFIC,rma.usda.gov,3,1,3,1,2,10,sales closing dates given with no year
farm-labor-housing,Off-Farm Labor Housing Direct Loans and Grants,Rural Development (RD),"Grant, Loan",https://ambrook.com/funding/farm-labor-housing,OK,2026-07-23,Closed Jul 3,"Closed July 3, 2024",may not exceed 90% of project cost,EXPLICIT,SPECIFIC,rd.usda.gov,3,3,3,2,3,14,closed date is the 2024 cycle
ohio-agriculture-growing-tomorrow,Ohio Agriculture Growing Tomorrow Grants,Ohio Farm Bureau Foundation (OFBF),Grant,https://ambrook.com/funding/ohio-agriculture-growing-tomorrow,OK,2026-07-31,Closed Jul 31,"Closed July 31, 2026","$3,000",EXPLICIT,SPECIFIC,ofbf.org,3,1,3,3,3,13,status contradicts body saying check back in early 2024
oh-scpbg,Ohio Specialty Crop Producer Block Grant,Ohio Department of Agriculture (ODA),Grant,https://ambrook.com/funding/oh-scpbg,OK,2026-07-23,Closed May 1,"Closed May 1, 2026","$25,000 to $150,000",EXPLICIT,SPECIFIC,agri.ohio.gov,3,1,3,3,3,13,status contradicts body window Feb 3 2025 to Mar 3 2025
oklahoma-resilient-food-systems-program,Oklahoma Resilient Food Systems Infrastructure Program,"Oklahoma Department of Agriculture, Food and Forestry (ODAFF)",Grant,https://ambrook.com/funding/oklahoma-resilient-food-systems-program,OK,2026-07-23,-,ABSENT,"$100,000 to $1,000,000",EXPLICIT,GENERIC,ag.ok.gov,3,2,2,3,3,13,only agency link is a different program document
ok-scbgp,Oklahoma Specialty Crop Block Grant Program,"Oklahoma Department of Agriculture, Food and Forestry (ODAFF)",Grant,https://ambrook.com/funding/ok-scbgp,OK,2026-07-23,Closed Feb 27,"no later than 5 pm February 27, 2026",ABSENT,EXPLICIT,GENERIC,ag.ok.gov,3,3,2,1,3,12,no funding amount
ok-vef,Oklahoma Viticulture and Enology Fund,"Oklahoma Department of Agriculture, Food and Forestry (ODAFF)",Grant,https://ambrook.com/funding/ok-vef,OK,2026-07-23,Closed Aug 20,"Closed August 20, 2024","$50,000",EXPLICIT,GENERIC,ag.ok.gov,3,1,2,3,3,12,status contradicts body deadline June 1 2023
open-data-framework,Open Data Framework,National Institute of Food and Agriculture (NIFA),Grant,https://ambrook.com/funding/open-data-framework,OK,2026-07-23,Closed Jun 26,"Deadline June 26, 2026","$923,325 total",PROSE,SPECIFIC,nifa.usda.gov,3,3,3,2,2,13,"program total only, no per-award maximum"
oregon-aggie-bond-program,Oregon Aggie Bond Program,Business Oregon,Loan,https://ambrook.com/funding/oregon-aggie-bond-program,OK,2026-07-23,-,ABSENT,"$520,000",EXPLICIT,SPECIFIC,oregon4biz.com,3,2,3,3,3,14,
oregon-weed-grant,Oregon Noxious Weed Grant Program,Oregon State Weed Board (OSWB),Grant,https://ambrook.com/funding/oregon-weed-grant,OK,2026-07-23,Closed Dec 19,"Closed December 19, 2025",ABSENT,EXPLICIT,SPECIFIC,oregon.gov,3,3,3,1,3,13,no funding amount
oregon-specialty-crop-block-grant-program,Oregon Specialty Crop Block Grant Program,Oregon Department of Agriculture,Grant,https://ambrook.com/funding/oregon-specialty-crop-block-grant-program,OK,2026-07-10,-,now open and accepting applications,ABSENT,EXPLICIT,SPECIFIC,oda.state.or.us,3,2,3,1,3,12,says now open but gives no closing date
oregon-watershed-enhancement-small-grant,Oregon Watershed Enhancement Board Small Grant,Oregon Watershed Enhancement Board (OWEB),Grant,https://ambrook.com/funding/oregon-watershed-enhancement-small-grant,OK,2026-07-23,Due Apr 15,"Due April 15, 2027","maximum request $20,000",EXPLICIT,SPECIFIC,oregon.gov,3,3,3,3,3,15,
orei,Organic Agriculture Research and Extension Initiative,National Institute of Food and Agriculture (NIFA),Grant,https://ambrook.com/funding/orei,OK,2026-07-23,Closed May 14,"Closed May 14, 2026","$3,500,000 maximum",EXPLICIT,GENERIC,nifa.usda.gov,3,3,2,3,3,14,links to a search result not a program page
occsp,Organic Certification Cost Share Program (OCCSP),Farm Service Agency (FSA),"Grant, Cost Share",https://ambrook.com/funding/occsp,OK,2026-07-28,Due Dec 31,"Due December 31, 2026",up to 75% not to exceed $750,PROSE,SPECIFIC,fsa.usda.gov,3,3,3,3,2,14,"sidebar field malformed as January 1, 750"
omdap,Organic Dairy Marketing Assistance Program (ODMAP),Farm Service Agency (FSA),Grant,https://ambrook.com/funding/omdap,OK,2026-07-23,Closed Dec 13,"Closed December 13, 2024","$104,000,000 total",EXPLICIT,GENERIC,fsa.usda.gov,3,3,2,2,3,13,FSA link wrapped in an Outlook safelinks redirect
omdg,Organic Market Development Grant,Agricultural Marketing Service (AMS),Grant,https://ambrook.com/funding/omdg,OK,2026-07-23,Closed Aug 8,"Closed August 8, 2023","$3,000,000 maximum",EXPLICIT,SPECIFIC,ams.usda.gov,3,3,3,3,3,15,
otidfa,Organic Transition Initiative Direct Farmer Assistance (OTI),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/otidfa,OK,2026-07-23,-,ABSENT,"$300,000,000 total",PROSE,SPECIFIC,farmers.gov,3,2,3,2,2,12,no deadline and no per-producer figure
partnerships-for-climate-smart-commodities,Partnerships for Climate-Smart Commodities (CSC),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/partnerships-for-climate-smart-commodities,OK,2026-07-23,Closed Jun 10,"Closed June 10, 2022",$5 million to $100 million,EXPLICIT,SPECIFIC,usda.gov,3,3,3,3,3,15,
prf-pilot-insurance-program,"Pasture, Rangeland, Forage Pilot Insurance Program",Risk Management Agency (RMA),Insurance,https://ambrook.com/funding/prf-pilot-insurance-program,OK,2026-07-23,-,sales closing date in actuarial documents,ABSENT,PROSE,SPECIFIC,rma.usda.gov,3,2,3,1,2,11,no premium or subsidy figures
pennsylvania-farm-vitality-planning-grant,Pennsylvania Farm Vitality Planning Grant,Pennsylvania Department of Agriculture,Grant,https://ambrook.com/funding/pennsylvania-farm-vitality-planning-grant,OK,2026-07-23,-,until available funding is exhausted,"$15,000",PROSE,SPECIFIC,pa.gov,3,3,3,3,2,14,eligibility lists eligible costs not applicant criteria
pennsylvania-next-generation-farmer-loan-program,Pennsylvania Next Generation Farmer Loan Program,Pennsylvania Department of Community & Economic Development,Loan,https://ambrook.com/funding/pennsylvania-next-generation-farmer-loan-program,OK,2026-07-23,-,ABSENT,"$682,000",EXPLICIT,SPECIFIC,dced.pa.gov,3,2,3,3,3,14,
pa-small-bus-adv,Pennsylvania Small Business Advantage Grant,Pennsylvania Department of Environmental Protection (PA DEP),Grant,https://ambrook.com/funding/pa-small-bus-adv,OK,2026-08-03,Closed Mar 13,"Closed March 13, 2026","up to $12,000",EXPLICIT,SPECIFIC,depgreenport.state.pa.us,3,3,3,3,3,15,linked guidelines and calculator are 2022 editions
plank-stewardship-initiative,Plank Stewardship Initiative,Plank Stewardship Initiative (PSI),Grant,https://ambrook.com/funding/plank-stewardship-initiative,OK,2026-07-23,Closed Feb 16,"no later than 5:00 p.m. February 16, 2026","up to $50,000",EXPLICIT,GENERIC,plankstewardship.org,3,3,2,3,3,14,only link is a .docx application form
plank-steward-short-notice,Plank Stewardship Initiative Short Notice Grant,Plank Stewardship Initiative (PSI),Grant,https://ambrook.com/funding/plank-steward-short-notice,OK,2026-08-03,-,any time during the calendar year,"$5,000",EXPLICIT,GENERIC,plankstewardship.org,3,3,2,3,3,14,only link is a .docx application form
potato-breeding-research-program,Potato Breeding Research Program,National Institute of Food and Agriculture (NIFA),Grant,https://ambrook.com/funding/potato-breeding-research-program,OK,2025-08-13,Closed Aug 14,"Closed August 14, 2025","$1,500,000",EXPLICIT,SPECIFIC,nifa.usda.gov,3,3,3,3,3,15,
proximity-climate-smart-partnership,Proximity Climate-Smart Partnership,Proximity Malt,Grant,https://ambrook.com/funding/proximity-climate-smart-partnership,OK,2026-07-23,-,ABSENT,"$4,999,233 total",PROSE,SPECIFIC,proximitymalt.com,3,2,3,2,2,12,"no deadline, no per-producer figure"
recognizing-the-role-of-buffalo-production-as-a-climate-smart-commodity,Recognizing the Role of Buffalo Production as a Climate-Smart Commodity,InterTribal Buffalo Council,Grant,https://ambrook.com/funding/recognizing-the-role-of-buffalo-production-as-a-climate-smart-commodity,OK,2026-07-23,Closed Apr 14,"Closed April 14, 2025","$4,950,000 total",ABSENT,NONE,ABSENT,3,3,1,2,1,10,no source link and no eligibility criteria
regen-pilot-program,Regenerative Pilot Program,Natural Resources Conservation Service (NRCS),Cost Share,https://ambrook.com/funding/regen-pilot-program,404,ABSENT,-,ABSENT,ABSENT,ABSENT,NONE,ABSENT,0,0,0,0,0,0,BROKEN 404 on both attempts
rcpp,Regional Conservation Partnership Program (RCPP),Natural Resources Conservation Service (NRCS),Easement,https://ambrook.com/funding/rcpp,OK,2026-01-22,Due Aug 24,Due Aug 24,"$10,000,000",EXPLICIT,SPECIFIC,nrcs.usda.gov,3,1,3,3,3,13,listing shows year-less Due Aug 24 and the page shows no deadline at all
rfsp,Regional Food System Partnerships,Agricultural Marketing Service (AMS),Grant,https://ambrook.com/funding/rfsp,OK,2026-07-23,Closed Jun 5,"Closed June 5, 2026","$1,000,000 maximum",EXPLICIT,SPECIFIC,ams.usda.gov,3,3,3,3,3,15,
reimbursement-transportation-cost-payment,Reimbursement Transportation Cost Payment (RTCP),Farm Service Agency (FSA),Grant,https://ambrook.com/funding/reimbursement-transportation-cost-payment,OK,2026-07-23,Closed Sep 30,"Closed September 30, 2025","$8,000 per producer",EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,3,3,15,
lasa,Rhode Island Local Ag & Seafood Act Grant,Rhode Island Department of Environmental Management (RI DEM),Grant,https://ambrook.com/funding/lasa,OK,2026-07-23,Closed Dec 5,"Deadline: December 5, 2025","$20,000",EXPLICIT,SPECIFIC,dem.ri.gov,3,3,3,3,3,15,
de-scbgp,Rhode Island Specialty Crop Block Grant Program,Rhode Island Department of Environmental Management (RI DEM),Grant,https://ambrook.com/funding/de-scbgp,OK,2026-07-23,Closed Feb 28,"Closed February 28, 2026",ABSENT,PROSE,SPECIFIC,dem.ri.gov,3,3,3,1,2,12,slug de-scbgp is used for a Rhode Island program
rice-stewardship-partnership-for-climate-smart-commodities,Rice Stewardship Partnership for Climate-Smart Commodities,USA Rice Federation,Grant,https://ambrook.com/funding/rice-stewardship-partnership-for-climate-smart-commodities,OK,2026-07-10,Closed Aug 30,"Closed August 30, 2024","$80,000,000 total",ABSENT,NONE,ABSENT,3,3,1,2,1,10,no source link and no eligibility criteria
rural-cooperative-development-grants,Rural Cooperative Development Grants,National Institute of Food and Agriculture (NIFA),Grant,https://ambrook.com/funding/rural-cooperative-development-grants,OK,2026-07-23,Closed Sep 15,"Closed September 15, 2025","$1,000,000 maximum",PROSE,SPECIFIC,nifa.usda.gov,3,3,3,3,2,14,eligibility restates the purpose
rdwsgp,Rural Decentralized Water Systems Grant Program,Rural Development (RD),Grant,https://ambrook.com/funding/rdwsgp,OK,2026-07-27,Closed Dec 1,"Closed December 1, 2025","$6,000,000 total",EXPLICIT,SPECIFIC,rd.usda.gov,3,3,3,2,3,14,
rmap,Rural Microentrepreneur Assistance Program,Rural Development (RD),Loan,https://ambrook.com/funding/rmap,OK,2026-08-03,-,accepted on an ongoing basis,"$500,000 maximum to MDOs",EXPLICIT,SPECIFIC,rd.usda.gov,3,3,3,3,3,15,
sage-grouse-initiative,Sage Grouse Initiative (SGI),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/sage-grouse-initiative,OK,2026-07-23,-,continuous basis,ABSENT,PROSE,SPECIFIC,nrcs.usda.gov,3,3,3,1,2,12,no funding information
santa-fe-farmers-market-institute-micro-loans,Santa Fe Farmers' Market Institute Micro-Loans,Santa Fe Farmers' Market Institute (SFFMI),Loan,https://ambrook.com/funding/santa-fe-farmers-market-institute-micro-loans,OK,2026-07-23,-,ABSENT,"$20,000",EXPLICIT,SPECIFIC,farmersmarketinstitute.org,3,2,3,3,3,14,
secondcrop,SecondCrop,Loam Bio,Environmental Market,https://ambrook.com/funding/secondcrop,OK,2026-08-05,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,loambio.com,3,2,3,1,3,12,no price or payment figure disclosed
spmgp,Sheep Production and Marketing Grant Program,Agricultural Marketing Service (AMS),Grant,https://ambrook.com/funding/spmgp,OK,2026-08-03,Due Oct 2,"Due October 2, 2026","$2,400,000",EXPLICIT,GENERIC,nsiic.org,3,3,2,3,3,14,links to a homepage and a USDA form
sky-high-farm-grant,Sky High Farm Grant,Sky High Farm,Grant,https://ambrook.com/funding/sky-high-farm-grant,OK,2026-02-11,Closed Jan 20,"Closed January 20, 2026","$30,000",PROSE,GENERIC,docs.google.com,3,3,2,3,2,13,only link is a Google Form
sba-disaster-assistance,Small Business Administration Disaster Assistance,Small Business Administration (SBA),Loan,https://ambrook.com/funding/sba-disaster-assistance,OK,2026-07-23,-,ABSENT,"$2,000,000 businesses",EXPLICIT,GENERIC,lending.sba.gov,3,2,2,3,3,13,only SBA link is the disaster lookup tool
sba-loans,Small Business Association Loans,Small Business Administration (SBA),Loan,https://ambrook.com/funding/sba-loans,OK,2026-07-23,-,ABSENT,ABSENT,ABSENT,SPECIFIC,sba.gov,3,2,3,1,1,10,no funding amount and no eligibility info
sbir-2,Small Business Innovation Research Program Phase 2,National Institute of Food and Agriculture (NIFA),Grant,https://ambrook.com/funding/sbir-2,OK,2026-07-23,Closed Sep 23,"Closed September 23, 2025","$650,000",EXPLICIT,SPECIFIC,nifa.usda.gov,3,3,3,3,3,15,
solar-massachusetts-renewable-target,Solar Massachusetts Renewable Target Program,MA-DOER,Solar Power,https://ambrook.com/funding/solar-massachusetts-renewable-target,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,GENERIC,masmartsolar.com,3,2,2,1,2,10,"no funding amount, no mass.gov link"
smd-mini-grant,Southern Maryland Farmer Mini-Grant Program,Southern Maryland Agricultural Development Commission (SMADC),Grant,https://ambrook.com/funding/smd-mini-grant,OK,2026-07-23,Closed Dec 31,"Closed December 31, 2025","$3,000",EXPLICIT,GENERIC,cognitoforms.com,3,3,2,3,3,14,only link is a Cognito application form
southern-maryland-revolving-loan-fund-for-agricultural-and-shellfish-aquaculture-producers,Southern Maryland Revolving Loan Fund for Agricultural & Shellfish Aquaculture Producers,Southern Maryland Agricultural Development Commission (SMADC),Loan,https://ambrook.com/funding/southern-maryland-revolving-loan-fund-for-agricultural-and-shellfish-aquaculture-producers,OK,2026-07-23,-,ABSENT,"$20,000",EXPLICIT,GENERIC,marbidco.org,3,2,2,3,3,13,links only to PDF application forms
s-sare-graduate-student,Southern SARE Graduate Student Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/s-sare-graduate-student,OK,2026-07-23,Closed May 8,"Closed May 8, 2026","$22,000",EXPLICIT,SPECIFIC,southern.sare.org,3,3,3,3,3,15,
s-sare-onfarm-research,Southern SARE On-Farm Research Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/s-sare-onfarm-research,OK,2026-07-23,Closed Nov 22,"Closed November 22, 2024","$30,000",EXPLICIT,SPECIFIC,southern.sare.org,3,3,3,3,3,15,close date is the 2024 cycle though page updated 2026-07-23
s-sare-producer,Southern SARE Producer Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/s-sare-producer,OK,2026-07-23,Closed Dec 5,"Closed December 5, 2025","$20,000",EXPLICIT,SPECIFIC,southern.sare.org,3,3,3,3,3,15,
s-sare-professional-development,Southern SARE Professional Development Program,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/s-sare-professional-development,OK,2026-07-23,Closed Nov 14,"Closed November 14, 2025",no funding cap,EXPLICIT,SPECIFIC,southern.sare.org,3,3,3,2,3,14,no award cap stated
s-sare-research-and-education,Southern SARE Research and Education Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/s-sare-research-and-education,OK,2026-07-10,Closed Nov 21,"Closed November 21, 2025","$400,000 research",EXPLICIT,SPECIFIC,southern.sare.org,3,3,3,3,3,15,
specialty-crop-research-initiative,Specialty Crop Research Initiative,National Institute of Food and Agriculture (NIFA),Grant,https://ambrook.com/funding/specialty-crop-research-initiative,OK,2026-07-23,Closed Jun 15,"Closed June 15, 2026","$10,000,000",PROSE,SPECIFIC,nifa.usda.gov,3,3,3,3,2,14,
steward,Steward Loans,Steward,Loan,https://ambrook.com/funding/steward,OK,2026-07-23,-,ABSENT,"$10,000 to $1,000,000+",EXPLICIT,SPECIFIC,gosteward.com,3,2,3,3,3,14,
sara,Stewardship Assistance and Restoration on APRs,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/sara,OK,2026-08-03,Closed Apr 14,"Closed April 14, 2026","up to $35,000 vs up to $50,000",EXPLICIT,SPECIFIC,mass.gov,3,3,3,3,3,15,page contradicts itself on award cap
ssfl,Sugar Storage Facility Loan Program (SSFL),Farm Service Agency (FSA),Loan,https://ambrook.com/funding/ssfl,OK,2026-07-23,-,ABSENT,85% of net cost,EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,2,3,13,percentage with no dollar cap
tennessee-agricultural-enhancement-program,Tennessee Agricultural Enhancement Program,Tennessee Department of Agriculture (TDA),Cost Share,https://ambrook.com/funding/tennessee-agricultural-enhancement-program,OK,2026-01-28,Closed Oct 7,"Closed October 7, 2025",ABSENT,PROSE,SPECIFIC,tn.gov,3,3,3,1,2,12,no funding amount for a cost-share program
tn-ag-enterprise-fund,Tennessee Agricultural Enterprise Fund,Tennessee Department of Agriculture (TDA),Grant,https://ambrook.com/funding/tn-ag-enterprise-fund,OK,2025-10-27,Due Oct 10,"Closed January 10, 2026","$100,000",EXPLICIT,SPECIFIC,tn.gov,3,3,3,3,3,15,listing says Due Oct 10 but page says Closed January 10 2026
tennessee-farmer-relief-fund,Tennessee Farmer Relief Fund,Tennessee Local Food,Grant,https://ambrook.com/funding/tennessee-farmer-relief-fund,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,GENERIC,docs.google.com,3,2,2,1,2,10,no funding amount; links to a Google Form and PayPal
tn-gif,Tennessee Grain Indemnity Fund,Tennessee Department of Agriculture (TDA),Insurance,https://ambrook.com/funding/tn-gif,OK,2026-07-23,-,ABSENT,"$100,000 cap for dealer failures",PROSE,SPECIFIC,tn.gov,3,2,3,3,2,13,
yfgp,Texas Agriculture Grant (YFGP),Texas Department of Agriculture (TXDA),Grant,https://ambrook.com/funding/yfgp,OK,2026-07-23,Closed Apr 17,"Closed April 17, 2025",ABSENT,ABSENT,GENERIC,form.jotform.com,3,3,2,1,1,10,"no funding amount, no eligibility, no TXDA link"
texas-climate-smart-initiative,Texas Conservation and Sustainability Initiative,Texas A&M Agrilife Research,Grant,https://ambrook.com/funding/texas-climate-smart-initiative,OK,2026-07-23,-,ABSENT,"$65,000,000 total",ABSENT,SPECIFIC,tcsi.tamu.edu,3,2,3,3,1,12,no eligibility info
star,Texas STAR Fund,Texas Department of Agriculture (TXDA),"Cost Share, Grant",https://ambrook.com/funding/star,OK,2026-07-23,-,90 days from proclamation,set per disaster proclamation,EXPLICIT,SPECIFIC,texasagriculture.gov,3,2,3,2,3,13,current award amounts not stated
yfirr,Texas Young Farmer Interest Rate Reduction Program,Texas Agricultural Finance Authority (TAFA),Discount,https://ambrook.com/funding/yfirr,OK,2026-07-23,-,ABSENT,"$500,000",EXPLICIT,SPECIFIC,texasagriculture.gov,3,2,3,3,3,14,
the-bobolink-project,The Bobolink Project,Massachusetts Audubon Society,Easement,https://ambrook.com/funding/the-bobolink-project,OK,2026-07-23,Closed Mar 15,"Closed March 15, 2026",ABSENT,EXPLICIT,SPECIFIC,bobolinkproject.com,3,3,3,1,3,13,no payment amount shown
ne-rlf,The Brighter Future Fund's New England Regenerative Livestock Farming Grant,American Farmland Trust (AFT),Grant,https://ambrook.com/funding/ne-rlf,OK,2026-07-23,Closed Nov 24,"Closed November 24, 2025","$10,000",PROSE,SPECIFIC,farmland.org,3,3,3,3,2,14,eligibility defers to external guidelines
carrot-farm-and-food-loan,The Carrot Project Farm and Food Loan Fund,The Carrot Project,Loan,https://ambrook.com/funding/carrot-farm-and-food-loan,OK,2026-07-23,-,first of the month,"$5,000 to $250,000",EXPLICIT,GENERIC,thecarrotproject.org,3,3,2,3,3,14,links to an inquiry form not a program page
the-climate-smart-agriculture-innovative-finance-initiative,The Climate-Smart Agriculture Innovative Finance Initiative,Field to Market,Grant,https://ambrook.com/funding/the-climate-smart-agriculture-innovative-finance-initiative,OK,2026-07-23,Closed Apr 14,"Closed April 14, 2025","$70,000,000 total",PROSE,SPECIFIC,fieldtomarket.org,3,3,3,3,2,14,parent PCSC program cancelled 2025-04-14
the-good-acre-local-emergency-assistance-farmer-fund,The Good Acre Local Emergency Assistance Farmer Fund,The Good Acre,Grant,https://ambrook.com/funding/the-good-acre-local-emergency-assistance-farmer-fund,OK,2026-07-23,Closed Feb 1,"Closed February 1, 2025","Tier 1 up to $5,000",EXPLICIT,GENERIC,leg.mn.gov,3,3,2,3,3,14,only links are a statute PDF and Instagram
the-growing-grass-climate-smart-value-added-us-commodity-markets-project,The Growing GRASS & Climate-Smart Value-Added U.S. Commodity Markets Project,American Sustainable Business Institute,Grant,https://ambrook.com/funding/the-growing-grass-climate-smart-value-added-us-commodity-markets-project,OK,2026-07-23,-,ABSENT,"$35,000,000 total",ABSENT,SPECIFIC,ggrass.org,3,2,3,3,1,12,no eligibility info
the-working-farms-fund,The Working Farms Fund,The Conservation Fund (TCF),Grant,https://ambrook.com/funding/the-working-farms-fund,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,SPECIFIC,conservationfund.org,3,2,3,1,2,11,no funding amount
transforming-the-farmer-to-consumer-supply-chain-with-climate-smart-agriculture-partnerships,Transforming the Farmer-to-Consumer Supply Chain with Climate-Smart Agriculture Partnerships,Carbon A List,Grant,https://ambrook.com/funding/transforming-the-farmer-to-consumer-supply-chain-with-climate-smart-agriculture-partnerships,OK,2026-07-23,-,ABSENT,"$70,350,000 total",PROSE,SPECIFIC,transformf2c.com,3,2,3,3,2,13,figure is total program funding
topp,Transition to Organic Partnership Program,Agricultural Marketing Service (AMS),Education,https://ambrook.com/funding/topp,OK,2026-07-23,-,ABSENT,$100 million over five years,PROSE,SPECIFIC,ams.usda.gov,3,2,3,3,2,13,figure is total program funding
tap,Tree Assistance Program (TAP),Farm Service Agency (FSA),Grant,https://ambrook.com/funding/tap,OK,2026-07-23,-,within 90 calendar days of the disaster,"$125,000 up to 65% cost-share",EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,3,3,15,
uae-agriculture-grant,"Urban, Indoor, and Emerging Agriculture Grant",National Institute of Food and Agriculture (NIFA),Grant,https://ambrook.com/funding/uae-agriculture-grant,OK,2026-07-23,Closed Jul 27,"Closed July 27, 2026","$500,000",EXPLICIT,SPECIFIC,nifa.usda.gov,3,3,3,3,3,15,source PDF is the FY22 RFA while the deadline shown is 2026
ut-emergency-disaster-relief-loan-program,Utah Emergency Disaster Relief Loan Program,Utah Department of Agriculture and Food (UDAF),Loan,https://ambrook.com/funding/ut-emergency-disaster-relief-loan-program,OK,2026-07-23,-,rolling per active disaster declaration,"$100,000 per entity",EXPLICIT,SPECIFIC,ag.utah.gov,3,3,3,3,3,15,
UFSG,Utah Food Security Processing Grant,Utah Department of Agriculture and Food (UDAF),Grant,https://ambrook.com/funding/UFSG,OK,2026-07-23,Closed Jun 8,"Closed June 8, 2025","$200,000 cap",EXPLICIT,SPECIFIC,ag.utah.gov,3,3,3,3,3,15,
ut-grazing-improvement-program,Utah Grazing Improvement Program,Utah Department of Agriculture and Food (UDAF),Cost Share,https://ambrook.com/funding/ut-grazing-improvement-program,OK,2026-07-23,Closed Dec 31,"Closed December 31, 2025","$200,000 maximum",PROSE,SPECIFIC,ag.utah.gov,3,1,3,3,2,12,status contradicts body listing windows that closed June 17 2022
ut-invasive-species,Utah Invasive Species Mitigation Program Application,Utah Department of Agriculture and Food (UDAF),Grant,https://ambrook.com/funding/ut-invasive-species,OK,2026-07-23,Closed Mar 20,"Closed March 20, 2026","$125,000",EXPLICIT,SPECIFIC,ag.utah.gov,3,3,3,3,3,15,agency link is the FY2024 application page
ut-pollinator-habitat-program,Utah Pollinator Habitat Program,Utah Department of Agriculture and Food (UDAF),Discount,https://ambrook.com/funding/ut-pollinator-habitat-program,OK,2026-07-23,Closed Apr 15,"Deadline April 15, 2026",up to 25% cost share,EXPLICIT,SPECIFIC,ag.utah.gov,3,1,3,2,3,12,status contradicts body window March 1 to April 15 2025
utah-salinity-and-groundwater-program,Utah Salinity and Groundwater Program,Utah Department of Agriculture and Food (UDAF),Grant,https://ambrook.com/funding/utah-salinity-and-groundwater-program,OK,2026-07-23,Due Sep 1,"Deadline: September 1, 2026",ABSENT,ABSENT,GENERIC,usbr.gov,3,3,2,1,1,10,no funding or eligibility info; no UDAF link
vapg,Value-Added Producer Grant,Rural Development (RD),Grant,https://ambrook.com/funding/vapg,OK,2026-07-23,Closed Apr 15,"Closed April 15, 2026","$200,000",EXPLICIT,SPECIFIC,vapg.rd.usda.gov,3,3,3,3,3,15,
